,sample_iteration,sampled_dataset,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,1,0,1,500,100,100,,ablated_eq1,0.5856,200.0
0,1,0,1,500,100,100,,ablated_eq2,0.5090999999999999,200.0
0,1,0,1,500,100,100,,LOGAN_D1,0.4045000000000001,200.0
0,1,0,1,500,100,100,,MC,0.5652,200.0
0,1,0,1,500,100,100,,gan_leaks,0.6039,200.0
0,1,0,1,500,100,100,,gan_leaks_cal,0.5498000000000001,200.0
0,1,0,1,500,100,100,,LOGAN_0,0.5386,200.0
0,1,0,1,500,100,100,,eq1,0.5856,200.0
0,1,0,1,500,100,100,,domias,0.5425,200.0
0,1,0,2,500,100,100,,ablated_eq1,0.6172,200.0
0,1,0,2,500,100,100,,ablated_eq2,0.6107,200.0
0,1,0,2,500,100,100,,LOGAN_D1,0.3986,200.0
0,1,0,2,500,100,100,,MC,0.56545,200.0
0,1,0,2,500,100,100,,gan_leaks,0.5996000000000001,200.0
0,1,0,2,500,100,100,,gan_leaks_cal,0.5532,200.0
0,1,0,2,500,100,100,,LOGAN_0,0.4718,200.0
0,1,0,2,500,100,100,,eq1,0.6172,200.0
0,1,0,2,500,100,100,,domias,0.6148,200.0
