,sample_iteration,sampled_dataset,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,1,0,1,200,100,100,,ablated_eq1,0.5232,200.0
0,1,0,1,200,100,100,,ablated_eq2,0.5698000000000001,200.0
0,1,0,1,200,100,100,,LOGAN_D1,0.5085000000000001,200.0
0,1,0,1,200,100,100,,MC,0.5211,200.0
0,1,0,1,200,100,100,,gan_leaks,0.5139999999999999,200.0
0,1,0,1,200,100,100,,gan_leaks_cal,0.5417000000000001,200.0
0,1,0,1,200,100,100,,LOGAN_0,0.5501,200.0
0,1,0,1,200,100,100,,eq1,0.5232,200.0
0,1,0,1,200,100,100,,domias,0.5385,200.0
0,1,0,2,200,100,100,,ablated_eq1,0.49505000000000005,200.0
0,1,0,2,200,100,100,,ablated_eq2,0.51605,200.0
0,1,0,2,200,100,100,,LOGAN_D1,0.47559999999999997,200.0
0,1,0,2,200,100,100,,MC,0.4748,200.0
0,1,0,2,200,100,100,,gan_leaks,0.48360000000000003,200.0
0,1,0,2,200,100,100,,gan_leaks_cal,0.4937,200.0
0,1,0,2,200,100,100,,LOGAN_0,0.5529999999999999,200.0
0,1,0,2,200,100,100,,eq1,0.49505000000000005,200.0
0,1,0,2,200,100,100,,domias,0.50715,200.0
