,sample_iteration,sampled_dataset,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,1,1,1,500,100,100,,ablated_eq1,0.49949999999999994,200.0
0,1,1,1,500,100,100,,ablated_eq2,0.5827,200.0
0,1,1,1,500,100,100,,LOGAN_D1,0.5068,200.0
0,1,1,1,500,100,100,,MC,0.5105,200.0
0,1,1,1,500,100,100,,gan_leaks,0.5088,200.0
0,1,1,1,500,100,100,,gan_leaks_cal,0.556,200.0
0,1,1,1,500,100,100,,LOGAN_0,0.49510000000000004,200.0
0,1,1,1,500,100,100,,eq1,0.49949999999999994,200.0
0,1,1,1,500,100,100,,domias,0.547,200.0
0,1,1,2,500,100,100,,ablated_eq1,0.5102,200.0
0,1,1,2,500,100,100,,ablated_eq2,0.5876,200.0
0,1,1,2,500,100,100,,LOGAN_D1,0.51,200.0
0,1,1,2,500,100,100,,MC,0.5302,200.0
0,1,1,2,500,100,100,,gan_leaks,0.5268,200.0
0,1,1,2,500,100,100,,gan_leaks_cal,0.5932,200.0
0,1,1,2,500,100,100,,LOGAN_0,0.5475,200.0
0,1,1,2,500,100,100,,eq1,0.5102,200.0
0,1,1,2,500,100,100,,domias,0.5416000000000001,200.0
