,sample_iteration,sampled_dataset,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,1,1,1,200,100,100,,ablated_eq1,0.5408,200.0
0,1,1,1,200,100,100,,ablated_eq2,0.5136000000000001,200.0
0,1,1,1,200,100,100,,LOGAN_D1,0.47240000000000004,200.0
0,1,1,1,200,100,100,,MC,0.5515500000000001,200.0
0,1,1,1,200,100,100,,gan_leaks,0.5428000000000001,200.0
0,1,1,1,200,100,100,,gan_leaks_cal,0.5402,200.0
0,1,1,1,200,100,100,,LOGAN_0,0.5468,200.0
0,1,1,1,200,100,100,,eq1,0.5408,200.0
0,1,1,1,200,100,100,,domias,0.5564,200.0
0,1,1,2,200,100,100,,ablated_eq1,0.4988000000000001,200.0
0,1,1,2,200,100,100,,ablated_eq2,0.48190000000000005,200.0
0,1,1,2,200,100,100,,LOGAN_D1,0.4707,200.0
0,1,1,2,200,100,100,,MC,0.48865,200.0
0,1,1,2,200,100,100,,gan_leaks,0.5038,200.0
0,1,1,2,200,100,100,,gan_leaks_cal,0.5083,200.0
0,1,1,2,200,100,100,,LOGAN_0,0.5116,200.0
0,1,1,2,200,100,100,,eq1,0.4988000000000001,200.0
0,1,1,2,200,100,100,,domias,0.49290000000000006,200.0
