,sample_iteration,sampled_dataset,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,2,0,1,500,100,100,,ablated_eq1,0.5355000000000001,200.0
0,2,0,1,500,100,100,,ablated_eq2,0.5167999999999999,200.0
0,2,0,1,500,100,100,,LOGAN_D1,0.5222,200.0
0,2,0,1,500,100,100,,MC,0.50455,200.0
0,2,0,1,500,100,100,,gan_leaks,0.5015,200.0
0,2,0,1,500,100,100,,gan_leaks_cal,0.5146,200.0
0,2,0,1,500,100,100,,LOGAN_0,0.5089000000000001,200.0
0,2,0,1,500,100,100,,eq1,0.5355000000000001,200.0
0,2,0,1,500,100,100,,domias,0.4894,200.0
0,2,0,2,500,100,100,,ablated_eq1,0.5054000000000001,200.0
0,2,0,2,500,100,100,,ablated_eq2,0.5081,200.0
0,2,0,2,500,100,100,,LOGAN_D1,0.5078,200.0
0,2,0,2,500,100,100,,MC,0.5035999999999999,200.0
0,2,0,2,500,100,100,,gan_leaks,0.49779999999999996,200.0
0,2,0,2,500,100,100,,gan_leaks_cal,0.5149,200.0
0,2,0,2,500,100,100,,LOGAN_0,0.518,200.0
0,2,0,2,500,100,100,,eq1,0.5054000000000001,200.0
0,2,0,2,500,100,100,,domias,0.48850000000000005,200.0
